artist,song,date_certified,label,award
JEREMIH,IMPATIENT,"August 10, 2018",DEF JAM,1
JUSTIN BIEBER,LOVE YOURSELF,"August 10, 2018",DEF JAM,7
NICKI MINAJ,BARBIE TINGZ,"August 10, 2018",YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS,0
KYLE,PLAYINWITME (FEAT. KEHLANI),"August 10, 2018",ATLANTIC RECORDS,0
RIHANNA,S&M,"August 10, 2018",DEF JAM,5
CASTING CROWNS,VOICE OF TRUTH,"August 10, 2018",PROVIDENT LABEL GROUP LLC / REUNION RECORDS / BEACH STREET RECORDS,1
YBN NAHMIR,BOUNCE OUT WITH THAT,"August 10, 2018",ATLANTIC RECORDS / MMMG / HUMAN RE SOURCES,0
CAM'RON,HEY MA,"August 10, 2018",DEF JAM,1
HUNTER HAYES,WANTED,"August 10, 2018",ATLANTIC RECORDS,5
KANYE WEST,GORGEOUS,"August 10, 2018",DEF JAM,0
BILLY CURRINGTON,DO I MAKE YOU WANNA,"August 10, 2018",MERCURY NASHVILLE,1
LIL DICKY,FREAKY FRIDAY (FEAT. CHRIS BROWN),"August 10, 2018",BMG/COMMISSION MUSIC,2
BHAD BHABIE,GUCCI FLIP FLOPS (FEAT. LIL YACHTY),"August 10, 2018",B.H.A.D. MUSIC / ATLANTIC RECORDS,0
NF,LET YOU DOWN,"August 10, 2018",NF REAL MUSIC LLC / CAROLINE,3
TEE GRIZZLEY,NO EFFORT,"August 10, 2018",300 ENTERTAINMENT,0
LADY ANTEBELLUM,NEED YOU NOW,"August 10, 2018",CAPITOL RECORDS NASHVILLE,9
FELIX JAEHN,AIN'T NOBODY (LOVES ME BETTER),"August 10, 2018",CASABLANCA RECORDS / REPUBLIC RECORDS,0
MARSHMELLO & ANNE-MARIE,FRIENDS,"August 10, 2018",JOYTIME COLLECTIVE / ASYLUM RECORDS / WARNER BROS RECORDS,1
BIG SEAN,PLAY NO GAMES,"August 10, 2018",DEF JAM RECORDS,1
BIG DADDY WEAVE,REDEEMED,"August 9, 2018",FERVENT/WORD/CURB,1
LEE BRICE,THAT DON'T SOUND LIKE YOU,"August 9, 2018",CURB RECORDS,1
TRACE ADKINS,HONKY TONK BADONKADONK,"August 8, 2018",CAPITOL NASHVILLE,2
TRACE ADKINS,LADIES LOVE COUNTRY BOYS,"August 8, 2018",CAPITOL RECORDS NASHVILLE,1
TRACE ADKINS,JUST FISHIN',"August 8, 2018",SHOW DOG NASHVILLE,0
BTS,FAKE LOVE,"August 8, 2018",BIGHIT ENTERTAINMENT,0
JOHN MAYER,XO,"August 8, 2018",COLUMBIA,0
TRACE ADKINS,YOU'RE GONNA MISS THIS,"August 8, 2018",CAPITOL NASHVILLE,2
BAD WOLVES,ZOMBIE,"August 8, 2018",ELEVEN SEVEN MUSIC,1
SAM SMITH,LIKE I CAN,"August 7, 2018",CAPITOL RECORDS,1
SAM SMITH,LAY ME DOWN,"August 7, 2018",CAPITOL,3
SAM SMITH,PRAY,"August 7, 2018",CAPITOL,0
SAM SMITH,LATCH,"August 7, 2018",CAPITOL RECORDS,1
SAM SMITH,TOO GOOD AT GOODBYES,"August 7, 2018",CAPITOL RECORDS,4
NIALL HORAN,TOO MUCH TO ASK,"August 7, 2018",CAPITOL RECORDS,0
XXXTENTACION,MOONLIGHT,"August 7, 2018",BAD VIBES FOREVER,1
NIALL HORAN,SLOW HANDS,"August 7, 2018",CAPITOL RECORDS,3
SAM SMITH,STAY WITH ME,"August 7, 2018",CAPITOL RECORDS,8
SAM SMITH,MAKE IT TO ME,"August 7, 2018",CAPITOL,0
BRETT YOUNG,MERCY,"August 7, 2018",BMLG RECORDS,1
CHRIS YOUNG,THE MAN I WANT TO BE,"August 6, 2018",RCA RECORDS LABEL NASHVILLE,1
CHRIS YOUNG,LOSING SLEEP,"August 6, 2018",RCA NASHVILLE,1
BRETT ELDREDGE,LOSE MY MIND,"August 3, 2018",ATLANTIC,1
COLE SWINDELL,LET ME SEE YA GIRL,"August 3, 2018",WARNER BROS,1
CARDI B,DRIP (FEAT. MIGOS),"August 3, 2018",ATLANTIC RECORDS,0
KALEO,ALL THE PRETTY GIRLS,"August 3, 2018",ELEKTRA / ATLANTIC RECORDS,0
CARDI B,RING (FEAT. KEHLANI),"August 3, 2018",ATLANTIC RECORDS,0
DEVIN DAWSON,ALL ON ME,"August 3, 2018",ATLANTIC RECORDS,1
BAZZI,BEAUTIFUL,"August 3, 2018",ATLANTIC RECORDS,0
ELLA MAI,BOO'D UP,"August 3, 2018",10 SUMMERS RECORDS / INTERSCOPE RECORDS,2
TRIPPIE REDD,LOVE SCARS,"August 3, 2018","ELLIOT GRAINGE ENTERTAINMENT, LLC",1
BILLIE EILISH,BELLYACHE,"August 3, 2018",DARKROOM / INTERSCOPE RECORDS,0
LIL UZI VERT,SAUCE IT UP,"August 3, 2018",ATLANTIC RECORDS,1
SOB X RBE,ANTI,"August 3, 2018",SOB X RBE/EMPIRE,0
ADRIEL FAVELA,TOMEN NOTA,"August 3, 2018","GERENCIA 360 MUSIC, INC",2
YOUNGBOY NEVER BROKE AGAIN,GENIE,"August 3, 2018",APG/ATLANTIC RECORDS,0
CHRISTINA PERRI,A THOUSAND YEARS,"August 3, 2018",ATLANTIC RECORDS,7
BRETT ELDREDGE,MEAN TO ME,"August 3, 2018",ATLANTIC,1
YULIEN OVIEDO,AHORA VETE,"August 3, 2018",UNIVERSAL MUSIC LATINO,0
CARDI B,I LIKE IT (FEAT. J BALVIN & BAD BUNNY),"August 3, 2018",ATLANTIC RECORDS,2
YOUNGBOY NEVER BROKE AGAIN,OUTSIDE TODAY,"August 3, 2018",APG/ATLANTIC RECORDS,1
DAN + SHAY,TEQUILA,"August 3, 2018",WARNER BROS,1
YOUNGBOY NEVER BROKE AGAIN,OVERDOSE,"August 3, 2018",APG/ATLANTIC RECORDS,0
CARDI B,I DO (FEAT. SZA),"August 3, 2018",ATLANTIC RECORDS,0
NATHANIEL RATELIFF AND THE NIGHT SWEATS,S.O.B.,"July 31, 2018",FANTASY/STAX,1
6IX9INE,BILLY,"July 31, 2018",TENTHOUSAND PROJECTS,0
MORGAN WALLEN,UP DOWN,"July 31, 2018",BIG LOUD RECORDS,1
NACHO,NO TE VAS,"July 31, 2018",UNIVERSAL MUSIC LATINO,1
SEBASTIAN YATRA,SUTRA,"July 31, 2018",UNIVERSAL MUSIC LATINO,1
LIL PUMP,GUCCI GANG,"July 31, 2018",THA LIGHTS GLOBAL / WARNER BROS. RECORDS,3
CHRIS JEDAY,BIPOLAR,"July 31, 2018",UNIVERSAL MUSIC LATINO,1
SELENA GOMEZ,BAD LIAR,"July 30, 2018",INTERSCOPE,1
NICKI MINAJ,CHUN-LI,"July 30, 2018",YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS,1
LIL PUMP,D ROSE,"July 27, 2018",THA LIGHTS GLOBAL / WARNER BROS. RECORDS,0
DEMI LOVATO,SORRY NOT SORRY,"July 27, 2018",ISLAND RECORDS,4
DJ KHALED,TO THE MAX (FEAT. DRAKE),"July 27, 2018",EPIC,0
DJ KHALED,"I'M THE ONE (FEAT. JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER & LIL WAYNE)","July 27, 2018",EPIC,6
DUA LIPA,NEW RULES,"July 27, 2018",WARNER BROS RECORDS,3
HALESTORM,HERE'S TO US,"July 27, 2018",ATLANTIC RECORDS,0
DJ KHALED,WILD THOUGHTS (FEAT. RIHANNA & BRYSON TILLER),"July 27, 2018",EPIC,4
BRYTIAGO & DARELL,ASESINA,"July 27, 2018","BUSINESS MUSIC, DISTRIBUTED BY GLAD EMPIRE",1
LIL PUMP,FLEX LIKE OUU,"July 27, 2018",THA LIGHTS GLOBAL / WARNER BROS. RECORDS,0
"HUGH JACKMAN, ZAC EFRON",THE OTHER SIDE,"July 25, 2018",ATLANTIC RECORDS,0
KEALA SETTLE & THE GREATEST SHOWMAN ENSEMBLE,THIS IS ME,"July 25, 2018",ATLANTIC RECORDS,1
"ZIV ZAIFMAN, HUGH JACKMAN, MICHELLE WILLIAMS",A MILLION DREAMS,"July 25, 2018",ATLANTIC RECORDS,0
LINDSEY STIRLING,CRYSTALLIZE,"July 25, 2018","LINDSEYSTOMP MUSIC, LLC",1
TANK,WHEN WE,"July 25, 2018",R&B MONEY / ATLANTIC RECORDS,1
JORDAN DAVIS,SINGLES YOU UP,"July 25, 2018",MCA NASHVILLE,1
THE GREATEST SHOWMAN ENSEMBLE,THE GREATEST SHOW,"July 25, 2018",ATLANTIC RECORDS,0
PHANTOGRAM,WHEN I'M SMALL,"July 24, 2018",BARSUK RECORDS,0
NF,LIE,"July 23, 2018",NF REAL MUSIC LLC / CAROLINE,0
TAYLOR SWIFT,DELICATE,"July 23, 2018",BIG MACHINE RECORDS,1
TROYE SIVAN,FOOLS,"July 23, 2018",CAPITOL RECORDS,0
TAYLOR SWIFT,BLANK SPACE,"July 23, 2018","BIG MACHINE RECORDS, INC.",8
TAYLOR SWIFT,THE BEST DAY,"July 23, 2018",BIG MACHINE RECORDS,0
"NIO GARCIA, CASPER MAGICO, BAD BUNNY, OZUNA, DARELL & NICKY JAM",TE BOTE REMIX,"July 23, 2018","FLOW LA MOVIE, INC",10
ADRIEL FAVELA,CHEQUEN EL PORTE,"July 23, 2018","GERENCIA 360 MUSIC, INC",1
SPIFF TV,"THINKIN (FEAT. ANUEL AA, BAD BUNNY, & FUTURE)","July 23, 2018",SONY LATIN,0
TAYLOR SWIFT,EVERYTHING HAS CHANGED (FEAT. ED SHEERAN),"July 23, 2018",BIG MACHINE RECORDS,2
TAYLOR SWIFT,…READY FOR IT,"July 23, 2018",BIG MACHINE RECORDS,2
TAYLOR SWIFT,I KNEW YOU WERE TROUBLE,"July 23, 2018","BIG MACHINE RECORDS, INC.",7
TAYLOR SWIFT,LOOK WHAT YOU MADE ME DO,"July 23, 2018",BIG MACHINE RECORDS,4
TAYLOR SWIFT,HOW YOU GET THE GIRL,"July 23, 2018",BIG MACHINE RECORDS,0
TROYE SIVAN,HAPPY LITTLE PILL,"July 23, 2018",CAPITOL RECORDS,0
TAYLOR SWIFT,FOREVER & ALWAYS,"July 23, 2018","BIG MACHINE RECORDS, INC.",1
TAYLOR SWIFT,THE WAY I LOVED YOU,"July 23, 2018","BIG MACHINE RECORDS, INC.",0
TAYLOR SWIFT,ALL TOO WELL,"July 23, 2018",BIG MACHINE RECORDS,0
TAYLOR SWIFT,WELCOME TO NEW YORK,"July 23, 2018","BIG MACHINE RECORDS, INC.",1
TAYLOR SWIFT,RED,"July 23, 2018","BIG MACHINE RECORDS, INC.",2
TAYLOR SWIFT,END GAME,"July 23, 2018",BIG MACHINE RECORDS,1
SELENA GOMEZ,KILL EM WITH KINDNESS,"July 20, 2018",INTERSCOPE,1
SELENA GOMEZ,HANDS TO MYSELF,"July 20, 2018",INTERSCOPE,2
SELENA GOMEZ,FETISH (FEAT. GUCCI MANE),"July 20, 2018",INTERSCOPE,1
X AMBASSADORS,UNSTEADY,"July 20, 2018",KIDINACORNER / INTERSCOPE,3
X AMBASSADORS,RENEGADES,"July 20, 2018",KIDINAKORNER / INTERSCOPE RECORDS,3
THIRTY SECONDS TO MARS,WALK ON WATER,"July 20, 2018",THIRTY SECONDS TO MARS / INTERSCOPE,0
SELENA GOMEZ,SAME OLD LOVE,"July 20, 2018",INTERSCOPE,3
5 SECONDS OF SUMMER,YOUNGBLOOD,"July 19, 2018",CAPITOL RECORDS,0
STARSET,MY DEMONS,"July 19, 2018",RAZOR & TIE,0
DRAM,CASH MACHINE,"July 19, 2018",W.A.V.E. RECORDINGS / EMPIRE / ATLANTIC,0
XXXTENTACION,LOVE,"July 19, 2018",BAD VIBES FOREVER / EMPIRE,2
MIGOS,MOTORSPORT,"July 19, 2018",QUALITY CONTROL MUSIC / MOTOWN RECORDS / CAPITOL RECORDS,3
CRECER GERMAN,LO QUE TE AMO,"July 19, 2018",FONOVISA,1
HALSEY,ALONE,"July 19, 2018",ASTRALWERKS,0
CRECER GERMAN,QUIEN TE ENTIENDE,"July 19, 2018",FONOVISA,5
CRECER GERMAN,HOMBRE AFORTUNADO,"July 19, 2018",FONOVISA,0
MIGOS,WALK IT TALK IT,"July 19, 2018",QUALITY CONTROL MUSIC / MOTOWN RECORDS / CAPITOL RECORDS,2
POST MALONE,ROCKSTAR,"July 19, 2018",REPUBLIC RECORDS,7
HALSEY,BAD AT LOVE,"July 19, 2018",ASTRALWERKS,3
CAST OF DESCENDANTS 2,"CHILLIN' LIKE A VILLAIN (FROM ""DESCENDANTS 2"")","July 19, 2018",WALT DISNEY RECORDS,0
TORY LANEZ,SHOOTERS,"July 19, 2018",MADLOVE/INTERSCOPE,0
DOVE CAMERON,"IF ONLY (FROM ""DESCENDANTS"")","July 19, 2018",WALT DISNEY RECORDS,0
KANYE WEST,YIKES,"July 19, 2018",G.O.O.D MUSIC / DEF JAM RECORDINGS,0
MIGOS,NARCOS,"July 19, 2018",QUALITY CONTROL MUSIC / MOTOWN RECORDS / CAPITOL RECORDS,1
MIGOS,STIR FRY,"July 19, 2018",QUALITY CONTROL MUSIC / MOTOWN RECORDS / CAPITOL RECORDS,2
CALUM SCOTT,YOU ARE THE REASON,"July 19, 2018",CAPITOL RECORDS,0
SLEEPING WITH SIRENS,IF YOU CAN'T HANG,"July 18, 2018",RISE RECORDS,0
SLEEPING WITH SIRENS,"IF I'M JAMES DEAN, YOU'RE AUDREY HEPBURN","July 18, 2018",RISE RECORDS,0
ADRIEL FAVELA,ME LLAMO JUAN,"July 13, 2018","GERENCIA 360 MUSIC, INC",1
TAME IMPALA,THE LESS I KNOW THE BETTER,"July 13, 2018",MODULAR/INTERSCOPE,0
BLAKE SHELTON,I'LL NAME THE DOGS,"July 13, 2018",WARNER BROS NASHVILLE,0
BILLIE EILISH,LOVELY (FEAT. KHALID),"July 13, 2018",DARKROOM / INTERSCOPE RECORDS,0
NEVADA,THE MACK,"July 12, 2018",CAPITOL RECORDS,0
JAY ROCK,"KING'S DEAD (FEAT. KENDRICK LAMAR, FUTURE, JAMES BLAKE)","July 12, 2018",TDE / AFTERMATH / INTERSCOPE,2
ED SHEERAN,HAPPIER,"July 11, 2018",ATLANTIC RECORDS,1
LIL SKIES,LUST,"July 11, 2018",ALL WE GOT ENT.,0
BRUNO MARS,THAT'S WHAT I LIKE,"July 10, 2018",ATLANTIC RECORDS,7
KANYE WEST,ALL MINE,"July 10, 2018",G.O.O.D MUSIC / DEF JAM RECORDINGS,0
WALE,THE MATRIMONY (FEAT. USHER),"July 10, 2018",ATLANTIC RECORDS,1
BRUNO MARS & CARDI B,FINESSE,"July 10, 2018",ATLANTIC RECORDS,3
ORIGINAL BROADWAY CAST OF HAMILTON,SATISFIED,"July 9, 2018",ATLANTIC RECORDS,0
FRANCESCA BATTISTELLI,HE KNOWS MY NAME,"July 9, 2018",WORD RECORDS / CURB RECORDS,0
ORIGINAL BROADWAY CAST OF HAMILTON,"AARON BURR, SIR","July 9, 2018",ATLANTIC RECORDS,0
